,h3_05,geometry,tamkeen_number_of_sites,tamkeen_distance_to_nearest_site_m
22,85520a47fffffff,"POLYGON ((45.07830845873361 16.747846339041942, 45.05854356766168 16.661434128246174, 45.12302207994744 16.607136296812897, 45.207203108934564 16.639153293099415, 45.227048617748146 16.72546046738684, 45.162632660956135 16.779855675605184, 45.07830845873361 16.747846339041942))",0.0,18275.981412101934
23,85520a4bfffffff,"POLYGON ((44.825127079789475 16.65146875419434, 44.805525157918524 16.56495933156683, 44.87026974348697 16.510738166968338, 44.95455505462662 16.542928608039908, 44.974238532103946 16.629333775572608, 44.90955532355946 16.68365275302587, 44.825127079789475 16.65146875419434))",0.0,21042.79680448492
24,85520a4ffffffff,"POLYGON ((44.974238532103946 16.629333775572608, 44.95455505462662 16.542928608039908, 45.019095547399196 16.488728430774692, 45.10325771772623 16.520835761571927, 45.12302207994744 16.607136296812897, 45.05854356766168 16.661434128246174, 44.974238532103946 16.629333775572608))",0.0,21134.568647141474
25,85520a53fffffff,"POLYGON ((44.88409609755002 16.911234580496487, 44.86441249761718 16.82460677751082, 44.92923892389423 16.770169625815665, 45.013687204805926 16.80226285406608, 45.033452503818985 16.888785969417153, 44.96868800486921 16.943320539277114, 44.88409609755002 16.911234580496487))",0.0,13133.857875814492
26,85520a57fffffff,"POLYGON ((45.033452503818985 16.888785969417153, 45.013687204805926 16.80226285406608, 45.07830845873361 16.747846339041942, 45.162632660956135 16.779855675605184, 45.18247898333607 16.86627372564783, 45.11792026198749 16.920787498356542, 45.033452503818985 16.888785969417153))",0.0,15465.539593593807
27,85520a5bfffffff,"POLYGON ((44.77984094277798 16.79242936436313, 44.760239306736544 16.705808209948867, 44.825127079789475 16.65146875419434, 44.90955532355946 16.68365275302587, 44.92923892389423 16.770169625815665, 44.86441249761718 16.82460677751082, 44.77984094277798 16.79242936436313))",0.0,16230.61291246536
28,85520a63fffffff,"POLYGON ((45.27147680383374 16.58487727121795, 45.25163222715538 16.498681739637068, 45.31576416071322 16.44452551625718, 45.399677684513186 16.476467487133455, 45.41960180599626 16.56255764949521, 45.35553303907114 16.616811202515798, 45.27147680383374 16.58487727121795))",0.0,46208.525576196866
29,85520a67fffffff,"POLYGON ((45.41960180599626 16.56255764949521, 45.399677684513186 16.476467487133455, 45.4636051726601 16.422334221906777, 45.54739321295411 16.454193946294396, 45.567396210281636 16.540178379667513, 45.50353247146029 16.594408808775537, 45.41960180599626 16.56255764949521))",0.0,61748.247638232904
30,85520a6bfffffff,"POLYGON ((45.16759398964701 16.466657232773585, 45.14783027603005 16.380469135619894, 45.21202480676732 16.32641051881021, 45.295920633597504 16.358442385889543, 45.31576416071322 16.44452551625718, 45.25163222715538 16.498681739637068, 45.16759398964701 16.466657232773585))",0.0,47632.452734851104
31,85520a6ffffffff,"POLYGON ((45.31576416071322 16.44452551625718, 45.295920633597504 16.358442385889543, 45.3599113042615 16.30440656351559, 45.443682498984344 16.336356420779076, 45.4636051726601 16.422334221906777, 45.399677684513186 16.476467487133455, 45.31576416071322 16.44452551625718))",0.0,60293.814265983514
32,85520a73fffffff,"POLYGON ((45.227048617748146 16.72546046738684, 45.207203108934564 16.639153293099415, 45.27147680383374 16.58487727121795, 45.35553303907114 16.616811202515798, 45.37545849325086 16.703012971616783, 45.311247947762425 16.757386207122444, 45.227048617748146 16.72546046738684))",0.0,34807.57944591316
33,85520a77fffffff,"POLYGON ((45.37545849325086 16.703012971616783, 45.35553303907114 16.616811202515798, 45.41960180599626 16.56255764949521, 45.50353247146029 16.594408808775537, 45.52353719930895 16.68050480982846, 45.459532168756674 16.73485541097803, 45.37545849325086 16.703012971616783))",0.0,51438.427400903245
34,85520a7bfffffff,"POLYGON ((45.12302207994744 16.607136296812897, 45.10325771772623 16.520835761571927, 45.16759398964701 16.466657232773585, 45.25163222715538 16.498681739637068, 45.27147680383374 16.58487727121795, 45.207203108934564 16.639153293099415, 45.12302207994744 16.607136296812897))",0.0,31811.787238474466
35,85520a83fffffff,"POLYGON ((45.302134645498555 17.385573894934428, 45.28212299638561 17.298931606556863, 45.3466982263404 17.244106494753513, 45.431221036571344 17.27582740127516, 45.451313298731435 17.36236341445528, 45.38680232189728 17.417284787510514, 45.302134645498555 17.385573894934428))",0.0,79482.57333958971
36,85520a87fffffff,"POLYGON ((45.451313298731435 17.36236341445528, 45.431221036571344 17.27582740127516, 45.495588689062686 17.221023580604925, 45.57998394012391 17.252659670660776, 45.60015613119585 17.339089041955106, 45.535853326361966 17.39398895507832, 45.451313298731435 17.36236341445528))",0.0,87325.98658016257
37,85520a8bfffffff,"POLYGON ((45.19747341202378 17.267125569903385, 45.17754380085532 17.18048508707888, 45.2421827019911 17.125756532592252, 45.326687726843 17.15757189579, 45.3466982263404 17.244106494753513, 45.28212299638561 17.298931606556863, 45.19747341202378 17.267125569903385))",0.0,61673.77616094743
38,85520a8ffffffff,"POLYGON ((45.3466982263404 17.244106494753513, 45.326687726843 17.15757189579, 45.39111964778466 17.102864465698158, 45.47549798329766 17.134595234966717, 45.495588689062686 17.221023580604925, 45.431221036571344 17.27582740127516, 45.3466982263404 17.244106494753513))",0.0,69306.37905744182
39,85520a9bfffffff,"POLYGON ((45.152621063101236 17.40871947989764, 45.13269071189659 17.321971288920235, 45.19747341202378 17.267125569903385, 45.28212299638561 17.298931606556863, 45.302134645498555 17.385573894934428, 45.23741559682589 17.44051604166398, 45.152621063101236 17.40871947989764))",0.0,74638.2897557515
40,85520aa3fffffff,"POLYGON ((45.644143918541666 17.197877820686145, 45.623973687830635 17.111556091954895, 45.68799134788111 17.056892938025968, 45.772113979988845 17.088455451238065, 45.792363055122564 17.174670205342466, 45.72841083679428 17.229429409452443, 45.644143918541666 17.197877820686145))",0.0,92071.61354060216
41,85520aa7fffffff,"POLYGON ((45.792363055122564 17.174670205342466, 45.772113979988845 17.088455451238065, 45.835924380459 17.03381544033859, 45.91991802114014 17.065294294346625, 45.940245261029055 17.151401721944445, 45.876500878299055 17.206137609448835, 45.792363055122564 17.174670205342466))",0.0,105565.55499897368
42,85520aabfffffff,"POLYGON ((45.539722820343776 17.079909606511396, 45.51963378706945 16.993589716706605, 45.58371631539754 16.93902291062513, 45.66782319126606 16.970679636068862, 45.68799134788111 17.056892938025968, 45.623973687830635 17.111556091954895, 45.539722820343776 17.079909606511396))",0.0,75428.59914681848
43,85520aaffffffff,"POLYGON ((45.68799134788111 17.056892938025968, 45.66782319126606 16.970679636068862, 45.73169903881998 16.91613580144084, 45.81567777820991 16.947709080882312, 45.835924380459 17.03381544033859, 45.772113979988845 17.088455451238065, 45.68799134788111 17.056892938025968))",0.0,89722.10240272153
44,85520ab3fffffff,"POLYGON ((45.60015613119585 17.339089041955106, 45.57998394012391 17.252659670660776, 45.644143918541666 17.197877820686145, 45.72841083679428 17.229429409452443, 45.74866227342755 17.315751778060683, 45.68456773008185 17.370629549393428, 45.60015613119585 17.339089041955106))",0.0,97428.56236245537
45,85520ab7fffffff,"POLYGON ((45.74866227342755 17.315751778060683, 45.72841083679428 17.229429409452443, 45.792363055122564 17.174670205342466, 45.876500878299055 17.206137609448835, 45.89683087798644 17.292352620437818, 45.83294467503047 17.34720757255653, 45.74866227342755 17.315751778060683))",0.0,109148.3785704384
46,85520abbfffffff,"POLYGON ((45.495588689062686 17.221023580604925, 45.47549798329766 17.134595234966717, 45.539722820343776 17.079909606511396, 45.623973687830635 17.111556091954895, 45.644143918541666 17.197877820686145, 45.57998394012391 17.252659670660776, 45.495588689062686 17.221023580604925))",0.0,79764.7347461877
47,85520ac3fffffff,"POLYGON ((44.94331108777564 17.171348343589354, 44.92354534028436 17.084605765938157, 44.988453589747564 17.029953779727943, 45.07306528752421 17.061947354419686, 45.09291287671325 17.148584821393587, 45.02806710977187 17.20333381871779, 44.94331108777564 17.171348343589354))",0.0,42615.95424242077
48,85520ac7fffffff,"POLYGON ((45.09291287671325 17.148584821393587, 45.07306528752421 17.061947354419686, 45.13776727821318 17.007315648768802, 45.22225395170573 17.0392245544128, 45.2421827019911 17.125756532592252, 45.17754380085532 17.18048508707888, 45.09291287671325 17.148584821393587))",0.0,44067.67537477201
49,85520acbfffffff,"POLYGON ((44.838809424576425 17.0525272203902, 44.81912594948581 16.965789270747614, 44.88409609755002 16.911234580496487, 44.96868800486921 16.943320539277114, 44.988453589747564 17.029953779727943, 44.92354534028436 17.084605765938157, 44.838809424576425 17.0525272203902))",0.0,30300.08456686021
50,85520acffffffff,"POLYGON ((44.988453589747564 17.029953779727943, 44.96868800486921 16.943320539277114, 45.033452503818985 16.888785969417153, 45.11792026198749 16.920787498356542, 45.13776727821318 17.007315648768802, 45.07306528752421 17.061947354419686, 44.988453589747564 17.029953779727943))",0.0,27051.551995856757
51,85520ad3fffffff,"POLYGON ((44.89802436585366 17.31296821643764, 44.8782585801888 17.22611709791563, 44.94331108777564 17.171348343589354, 45.02806710977187 17.20333381871779, 45.04791514986964 17.29007981003605, 44.98292509762765 17.344945448026532, 44.89802436585366 17.31296821643764))",0.0,59131.163469812156
52,85520ad7fffffff,"POLYGON ((45.04791514986964 17.29007981003605, 45.02806710977187 17.20333381871779, 45.09291287671325 17.148584821393587, 45.17754380085532 17.18048508707888, 45.19747341202378 17.267125569903385, 45.13269071189659 17.321971288920235, 45.04791514986964 17.29007981003605))",0.0,58024.44721148529
53,85520adbfffffff,"POLYGON ((44.793378273185766 17.19404610804835, 44.77369504856878 17.107198803752677, 44.838809424576425 17.0525272203902, 44.92354534028436 17.084605765938157, 44.94331108777564 17.171348343589354, 44.8782585801888 17.22611709791563, 44.793378273185766 17.19404610804835))",0.0,44157.83949145017
54,85520b03fffffff,"POLYGON ((46.32027288806463 16.823998891138153, 46.299798761753586 16.7383244690219, 46.36270790270351 16.684000921575663, 46.446023670907636 16.71525618903698, 46.46657315615765 16.80082235606223, 46.40373169469152 16.855241494249537, 46.32027288806463 16.823998891138153))",0.0,155112.4058152119
55,85520b07fffffff,"POLYGON ((46.46657315615765 16.80082235606223, 46.446023670907636 16.71525618903698, 46.50872634908011 16.660959334956132, 46.59191047347032 16.692133221975258, 46.61253464771184 16.77759081101343, 46.54990018868341 16.831983073405734, 46.46657315615765 16.80082235606223))",0.0,171360.82102529306
56,85520b0bfffffff,"POLYGON ((46.21635204911702 16.706987510217033, 46.19595742496344 16.62131500225982, 46.25893368917581 16.567087345952483, 46.34223763424068 16.598436290970888, 46.36270790270351 16.684000921575663, 46.299798761753586 16.7383244690219, 46.21635204911702 16.706987510217033))",0.0,143988.51725315052
57,85520b0ffffffff,"POLYGON ((46.36270790270351 16.684000921575663, 46.34223763424068 16.598436290970888, 46.40500797822115 16.544235147480602, 46.48818110451418 16.575502907364104, 46.50872634908011 16.660959334956132, 46.446023670907636 16.71525618903698, 46.36270790270351 16.684000921575663))",0.0,160423.84171562624
58,85520b13fffffff,"POLYGON ((46.27770233435787 16.964227727693668, 46.257224452481694 16.87844426563576, 46.32027288806463 16.823998891138153, 46.40373169469152 16.855241494249537, 46.42428532061862 16.94091665310396, 46.36130457706719 16.995457495762512, 46.27770233435787 16.964227727693668))",0.0,151504.82014581235
59,85520b17fffffff,"POLYGON ((46.42428532061862 16.94091665310396, 46.40373169469152 16.855241494249537, 46.46657315615765 16.80082235606223, 46.54990018868341 16.831983073405734, 46.57052888585241 16.917549603243728, 46.507755660140354 16.972064027315334, 46.42428532061862 16.94091665310396))",0.0,167412.50827910626
60,85520b1bfffffff,"POLYGON ((46.17363457699103 16.847119462205136, 46.15323648066535 16.761337113587985, 46.21635204911702 16.706987510217033, 46.299798761753586 16.7383244690219, 46.32027288806463 16.823998891138153, 46.257224452481694 16.87844426563576, 46.17363457699103 16.847119462205136))",0.0,138881.73928589342
61,85520b23fffffff,"POLYGON ((46.65440666351137 16.63786369417696, 46.63378710993978 16.552515789591364, 46.69614552649272 16.49836955988865, 46.77905494546142 16.529475872409677, 46.79974814210197 16.614714939637313, 46.73745845571362 16.668956512786412, 46.65440666351137 16.63786369417696))",0.0,186848.64098850623
62,85520b27fffffff,"POLYGON ((46.79974814210197 16.614714939637313, 46.77905494546142 16.529475872409677, 46.84120737442287 16.47535803462884, 46.923983926684635 16.50638408710411, 46.944750101669584 16.591514008239677, 46.88266692471217 16.645727002949535, 46.79974814210197 16.614714939637313))",0.0,174756.24708094765
63,85520b2bfffffff,"POLYGON ((46.55074549599268 16.521328907579072, 46.53020459108867 16.435982958804527, 46.592631190290476 16.381932374082687, 46.67553069031916 16.413132075212324, 46.69614552649272 16.49836955988865, 46.63378710993978 16.552515789591364, 46.55074549599268 16.521328907579072))",0.0,169432.80407482196
64,85520b2ffffffff,"POLYGON ((46.69614552649272 16.49836955988865, 46.67553069031916 16.413132075212324, 46.73775182669598 16.359109697718033, 46.820519270069106 16.390229325542492, 46.84120737442287 16.47535803462884, 46.77905494546142 16.529475872409677, 46.69614552649272 16.49836955988865))",0.0,181031.96117381164
65,85520b33fffffff,"POLYGON ((46.61253464771184 16.77759081101343, 46.59191047347032 16.692133221975258, 46.65440666351137 16.63786369417696, 46.73745845571362 16.668956512786412, 46.758156650150845 16.75430520661136, 46.69572921197282 16.80866995828706, 46.61253464771184 16.77759081101343))",0.0,187612.7674248859
66,85520b37fffffff,"POLYGON ((46.758156650150845 16.75430520661136, 46.73745845571362 16.668956512786412, 46.79974814210197 16.614714939637313, 46.88266692471217 16.645727002949535, 46.90343847175272 16.730966489980016, 46.841218063019625 16.785303100607518, 46.758156650150845 16.75430520661136))",0.0,185118.2891064497
67,85520b3bfffffff,"POLYGON ((46.50872634908011 16.660959334956132, 46.48818110451418 16.575502907364104, 46.55074549599268 16.521328907579072, 46.63378710993978 16.552515789591364, 46.65440666351137 16.63786369417696, 46.59191047347032 16.692133221975258, 46.50872634908011 16.660959334956132))",0.0,176293.31044130653
68,85520b43fffffff,"POLYGON ((45.96577776549921 16.612625867403622, 45.94553923918363 16.526849289807682, 46.00878739623523 16.472692119672928, 46.0922082445581 16.504215150158092, 46.11252336567866 16.589884566010063, 46.04934122343907 16.64413809976235, 45.96577776549921 16.612625867403622))",0.0,117813.66186051417
69,85520b47fffffff,"POLYGON ((46.11252336567866 16.589884566010063, 46.0922082445581 16.504215150158092, 46.15525107588342 16.45008368090893, 46.23854264070626 16.481525425939175, 46.25893368917581 16.567087345952483, 46.19595742496344 16.62131500225982, 46.11252336567866 16.589884566010063))",0.0,134331.52846485845
70,85520b4bfffffff,"POLYGON ((45.86198982801718 16.495244673837803, 45.84183108282854 16.409472754695013, 45.90514469584412 16.355412237664968, 45.98855177736327 16.38702697429714, 46.00878739623523 16.472692119672928, 45.94553923918363 16.526849289807682, 45.86198982801718 16.495244673837803))",0.0,110165.8100025204
71,85520b4ffffffff,"POLYGON ((46.00878739623523 16.472692119672928, 45.98855177736327 16.38702697429714, 46.051660619746826 16.332991983527762, 46.13493924895677 16.364525646121248, 46.15525107588342 16.45008368090893, 46.0922082445581 16.504215150158092, 46.00878739623523 16.472692119672928))",0.0,121567.27786435043
72,85520b53fffffff,"POLYGON ((45.92263112420632 16.752791901668964, 45.90238979745942 16.666904638773417, 45.96577776549921 16.612625867403622, 46.04934122343907 16.64413809976235, 46.06965953402142 16.729918153721172, 46.00633758335418 16.78429317108092, 45.92263112420632 16.752791901668964))",0.0,111052.19986552547
73,85520b57fffffff,"POLYGON ((46.06965953402142 16.729918153721172, 46.04934122343907 16.64413809976235, 46.11252336567866 16.589884566010063, 46.19595742496344 16.62131500225982, 46.21635204911702 16.706987510217033, 46.15323648066535 16.761337113587985, 46.06965953402142 16.729918153721172))",0.0,127529.43673356487
74,85520b5bfffffff,"POLYGON ((45.81869766747581 16.635310306698983, 45.79853640438017 16.54942690716321, 45.86198982801718 16.495244673837803, 45.94553923918363 16.526849289807682, 45.96577776549921 16.612625867403622, 45.90238979745942 16.666904638773417, 45.81869766747581 16.635310306698983))",0.0,101262.69170802641
75,85520b63fffffff,"POLYGON ((46.30138009719786 16.427420290854755, 46.28099272687519 16.341969697794358, 46.34369187000235 16.287987648628818, 46.426711461259764 16.31936005377648, 46.44717371134303 16.4047028796294, 46.38454166884575 16.458781051714098, 46.30138009719786 16.427420290854755))",0.0,141043.84258971512
76,85520b67fffffff,"POLYGON ((46.44717371134303 16.4047028796294, 46.426711461259764 16.31936005377648, 46.48920569559248 16.265405411116777, 46.57209472300637 16.296697635282268, 46.592631190290476 16.381932374082687, 46.53020459108867 16.435982958804527, 46.44717371134303 16.4047028796294))",0.0,152105.56842673497
77,85520b6bfffffff,"POLYGON ((46.19784326472481 16.310516812774978, 46.17753483566997 16.22507089370277, 46.240300529090455 16.171185258187883, 46.32330827924976 16.202649113247823, 46.34369187000235 16.287987648628818, 46.28099272687519 16.341969697794358, 46.19784326472481 16.310516812774978))",0.0,123499.80300574898
78,85520b6ffffffff,"POLYGON ((46.34369187000235 16.287987648628818, 46.32330827924976 16.202649113247823, 46.38586960121572 16.14879070525885, 46.46874760398104 16.180174581994326, 46.48920569559248 16.265405411116777, 46.426711461259764 16.31936005377648, 46.34369187000235 16.287987648628818))",0.0,134899.43455658312
79,85520b73fffffff,"POLYGON ((46.25893368917581 16.567087345952483, 46.23854264070626 16.481525425939175, 46.30138009719786 16.427420290854755, 46.38454166884575 16.458781051714098, 46.40500797822115 16.544235147480602, 46.34223763424068 16.598436290970888, 46.25893368917581 16.567087345952483))",0.0,148863.90666199918
80,85520b77fffffff,"POLYGON ((46.40500797822115 16.544235147480602, 46.38454166884575 16.458781051714098, 46.44717371134303 16.4047028796294, 46.53020459108867 16.435982958804527, 46.55074549599268 16.521328907579072, 46.48818110451418 16.575502907364104, 46.40500797822115 16.544235147480602))",0.0,158647.16075353473
81,85520b7bfffffff,"POLYGON ((46.15525107588342 16.45008368090893, 46.13493924895677 16.364525646121248, 46.19784326472481 16.310516812774978, 46.28099272687519 16.341969697794358, 46.30138009719786 16.427420290854755, 46.23854264070626 16.481525425939175, 46.15525107588342 16.45008368090893))",0.0,131079.87508124218
82,85520b83fffffff,"POLYGON ((46.33930331909203 17.22179371552647, 46.31874171599589 17.135902848657455, 46.38186224262575 17.08124089063158, 46.46547628917199 17.11237474951273, 46.48611373486368 17.198156897252268, 46.423061473859484 17.252913888170575, 46.33930331909203 17.22179371552647))",0.0,164532.0155751728
83,85520b87fffffff,"POLYGON ((46.48611373486368 17.198156897252268, 46.46547628917199 17.11237474951273, 46.52838878147051 17.05773874611292, 46.61187009107492 17.08879002334011, 46.63258270191774 17.174463126011826, 46.569739020129056 17.229193978299893, 46.48611373486368 17.198156897252268))",0.0,179472.41340399833
84,85520b8bfffffff,"POLYGON ((46.234995638396605 17.104686085056024, 46.21451410429194 17.0187943428599, 46.27770233435787 16.964227727693668, 46.36130457706719 16.995457495762512, 46.38186224262575 17.08124089063158, 46.31874171599589 17.135902848657455, 46.234995638396605 17.104686085056024))",0.0,149738.35773281395
85,85520b8ffffffff,"POLYGON ((46.38186224262575 17.08124089063158, 46.36130457706719 16.995457495762512, 46.42428532061862 16.94091665310396, 46.507755660140354 16.972064027315334, 46.52838878147051 17.05773874611292, 46.46547628917199 17.11237474951273, 46.38186224262575 17.08124089063158))",0.0,165108.9365696789
86,85520b93fffffff,"POLYGON ((46.29660794366151 17.362573756991164, 46.27604250617955 17.27657619032543, 46.33930331909203 17.22179371552647, 46.423061473859484 17.252913888170575, 46.44370314307023 17.338802696668225, 46.38051060901509 17.39368007381563, 46.29660794366151 17.362573756991164))",0.0,165712.54328676427
87,85520b97fffffff,"POLYGON ((46.44370314307023 17.338802696668225, 46.423061473859484 17.252913888170575, 46.48611373486368 17.198156897252268, 46.569739020129056 17.229193978299893, 46.59045624071762 17.31497369975845, 46.52747280757403 17.36982540917438, 46.44370314307023 17.338802696668225))",0.0,179899.61652563483
88,85520b9bfffffff,"POLYGON ((46.19215219373513 17.245372599315992, 46.17166711180175 17.159373345007698, 46.234995638396605 17.104686085056024, 46.31874171599589 17.135902848657455, 46.33930331909203 17.22179371552647, 46.27604250617955 17.27657619032543, 46.19215219373513 17.245372599315992))",0.0,149892.2280497124
89,85520ba3fffffff,"POLYGON ((46.67457452473681 17.0341806226798, 46.65386662218477 16.948614902973553, 46.71643230871686 16.89412753899289, 46.79963675296108 16.925111084726584, 46.820418763370974 17.010567488021724, 46.75792240268075 17.065149642444187, 46.67457452473681 17.0341806226798))",0.0,196311.87809160238
90,85520ba7fffffff,"POLYGON ((46.820418763370974 17.010567488021724, 46.79963675296108 16.925111084726584, 46.86199488886657 16.870651417738056, 46.945065363188526 16.901553531018497, 46.96592080932998 16.98690030625754, 46.90363252606769 17.041454575586577, 46.820418763370974 17.010567488021724))",0.0,193310.8422715347
91,85520babfffffff,"POLYGON ((46.57052888585241 16.917549603243728, 46.54990018868341 16.831983073405734, 46.61253464771184 16.77759081101343, 46.69572921197282 16.80866995828706, 46.71643230871686 16.89412753899289, 46.65386662218477 16.948614902973553, 46.57052888585241 16.917549603243728))",0.0,183390.0118450518
