,h3_05,worldpop2023_sum,adj_at_least_one,adj_exposed_airpol15_pop,adj_exposed_heat32_pop,adj_exposed_drought20_pop,adj_exposed_flood5_pop
1917,8552edb7fffffff,29625.506569099998,31883.0,31883.0,31883.0,0.0,0.0
1918,8552edbbfffffff,2790.8890452,3175.0,3175.0,3175.0,0.0,0.0
1919,8552edc3fffffff,1299.13894192,0.0,1481.0,0.0,0.0,0.0
1920,8552edc7fffffff,1565.1854481999999,0.0,1778.0,0.0,0.0,0.0
1921,8552edcbfffffff,3148.3360774000002,1261.0,3477.0,0.0,0.0,1261.0
1922,8552edcffffffff,936.732183289,0.0,1038.0,0.0,0.0,0.0
1923,8552edd3fffffff,1189.0947175000001,0.0,1319.0,0.0,0.0,0.0
1924,8552edd7fffffff,1368.861481715,0.0,1499.0,0.0,0.0,0.0
1925,8552eddbfffffff,2306.173118915,1274.0,2531.0,0.0,0.0,1274.0
1926,8552ee03fffffff,1054.2548707,1142.0,1142.0,1142.0,0.0,0.0
1927,8552ee07fffffff,682.0383719,730.0,730.0,730.0,0.0,0.0
1928,8552ee0bfffffff,553.62104592,610.0,610.0,610.0,0.0,0.0
1929,8552ee0ffffffff,1290.6274369999999,1425.0,1425.0,1425.0,0.0,0.0
1930,8552ee13fffffff,1591.792878268,0.0,1869.0,0.0,0.0,0.0
1931,8552ee17fffffff,1108.9537404,460.0,1176.0,460.0,0.0,0.0
1932,8552ee1bfffffff,1229.5883887300001,822.0,1369.0,822.0,0.0,0.0
1933,8552ee23fffffff,,,,,,
1934,8552ee33fffffff,797.7286285499999,917.0,917.0,917.0,0.0,0.0
1935,8552ee37fffffff,854.28945924,932.0,932.0,932.0,0.0,0.0
1936,8552ee3bfffffff,645.5949241989999,724.0,724.0,724.0,0.0,0.0
1937,8552ee43fffffff,373.9598836,395.0,395.0,395.0,0.0,0.0
1938,8552ee47fffffff,1283.9374288,1485.0,1485.0,1485.0,0.0,0.0
1939,8552ee4bfffffff,1649.6130021000001,1817.0,1817.0,1817.0,0.0,0.0
1940,8552ee4ffffffff,1525.8004693010002,1684.0,1684.0,1684.0,0.0,0.0
1941,8552ee53fffffff,2162.9948815,2558.0,2558.0,2558.0,0.0,0.0
1942,8552ee57fffffff,1233.3686203,1059.0,1329.0,1059.0,0.0,0.0
1943,8552ee5bfffffff,1265.4936103,1453.0,1453.0,1453.0,0.0,791.0
1944,8552ee73fffffff,691.15129174,381.0,784.0,381.0,0.0,0.0
1945,8552ee77fffffff,645.726015874,738.0,738.0,738.0,0.0,0.0
1946,8552ee7bfffffff,,,,,,
1947,8552ee83fffffff,3391.17427218,0.0,3871.0,0.0,0.0,0.0
1948,8552ee87fffffff,2556.129309,334.0,2744.0,0.0,0.0,334.0
1949,8552ee8bfffffff,2971.8648604,0.0,3351.0,0.0,0.0,0.0
1950,8552ee8ffffffff,2181.14049355,0.0,2478.0,0.0,0.0,0.0
1951,8552ee93fffffff,11164.179060299999,12455.0,12455.0,0.0,0.0,12455.0
1952,8552ee97fffffff,13988.41984097,13479.0,15657.0,0.0,0.0,13479.0
1953,8552ee9bfffffff,26888.963714,0.0,28287.0,0.0,0.0,0.0
1954,8552eea3fffffff,1202.2423821,1210.0,1319.0,1210.0,0.0,0.0
1955,8552eea7fffffff,3741.0848957,4126.0,4126.0,4126.0,0.0,0.0
1956,8552eeabfffffff,607.9335100999999,651.0,651.0,651.0,0.0,0.0
1957,8552eeaffffffff,453.8687596,479.0,479.0,479.0,0.0,0.0
1958,8552eeb3fffffff,2616.3272650999997,2307.0,2621.0,2307.0,0.0,0.0
1959,8552eeb7fffffff,6539.68217189,7497.0,7497.0,7497.0,0.0,0.0
