,h3_05,geometry,yeeap_number_of_sites,yeeap_distance_to_nearest_site_m
42,85520aabfffffff,"POLYGON ((45.539722820343776 17.079909606511396, 45.51963378706945 16.993589716706605, 45.58371631539754 16.93902291062513, 45.66782319126606 16.970679636068862, 45.68799134788111 17.056892938025968, 45.623973687830635 17.111556091954895, 45.539722820343776 17.079909606511396))",0.0,62343.47013059701
43,85520aaffffffff,"POLYGON ((45.68799134788111 17.056892938025968, 45.66782319126606 16.970679636068862, 45.73169903881998 16.91613580144084, 45.81567777820991 16.947709080882312, 45.835924380459 17.03381544033859, 45.772113979988845 17.088455451238065, 45.68799134788111 17.056892938025968))",0.0,78742.06799195556
44,85520ab3fffffff,"POLYGON ((45.60015613119585 17.339089041955106, 45.57998394012391 17.252659670660776, 45.644143918541666 17.197877820686145, 45.72841083679428 17.229429409452443, 45.74866227342755 17.315751778060683, 45.68456773008185 17.370629549393428, 45.60015613119585 17.339089041955106))",0.0,76669.9395011532
45,85520ab7fffffff,"POLYGON ((45.74866227342755 17.315751778060683, 45.72841083679428 17.229429409452443, 45.792363055122564 17.174670205342466, 45.876500878299055 17.206137609448835, 45.89683087798644 17.292352620437818, 45.83294467503047 17.34720757255653, 45.74866227342755 17.315751778060683))",0.0,90853.64369638245
46,85520abbfffffff,"POLYGON ((45.495588689062686 17.221023580604925, 45.47549798329766 17.134595234966717, 45.539722820343776 17.079909606511396, 45.623973687830635 17.111556091954895, 45.644143918541666 17.197877820686145, 45.57998394012391 17.252659670660776, 45.495588689062686 17.221023580604925))",0.0,60645.87864450816
47,85520ac3fffffff,"POLYGON ((44.94331108777564 17.171348343589354, 44.92354534028436 17.084605765938157, 44.988453589747564 17.029953779727943, 45.07306528752421 17.061947354419686, 45.09291287671325 17.148584821393587, 45.02806710977187 17.20333381871779, 44.94331108777564 17.171348343589354))",0.0,14482.41704795969
48,85520ac7fffffff,"POLYGON ((45.09291287671325 17.148584821393587, 45.07306528752421 17.061947354419686, 45.13776727821318 17.007315648768802, 45.22225395170573 17.0392245544128, 45.2421827019911 17.125756532592252, 45.17754380085532 17.18048508707888, 45.09291287671325 17.148584821393587))",0.0,16887.915587413267
49,85520acbfffffff,"POLYGON ((44.838809424576425 17.0525272203902, 44.81912594948581 16.965789270747614, 44.88409609755002 16.911234580496487, 44.96868800486921 16.943320539277114, 44.988453589747564 17.029953779727943, 44.92354534028436 17.084605765938157, 44.838809424576425 17.0525272203902))",0.0,15668.7547446382
50,85520acffffffff,"POLYGON ((44.988453589747564 17.029953779727943, 44.96868800486921 16.943320539277114, 45.033452503818985 16.888785969417153, 45.11792026198749 16.920787498356542, 45.13776727821318 17.007315648768802, 45.07306528752421 17.061947354419686, 44.988453589747564 17.029953779727943))",1.0,2720.3590040145396
51,85520ad3fffffff,"POLYGON ((44.89802436585366 17.31296821643764, 44.8782585801888 17.22611709791563, 44.94331108777564 17.171348343589354, 45.02806710977187 17.20333381871779, 45.04791514986964 17.29007981003605, 44.98292509762765 17.344945448026532, 44.89802436585366 17.31296821643764))",0.0,31718.933638079576
52,85520ad7fffffff,"POLYGON ((45.04791514986964 17.29007981003605, 45.02806710977187 17.20333381871779, 45.09291287671325 17.148584821393587, 45.17754380085532 17.18048508707888, 45.19747341202378 17.267125569903385, 45.13269071189659 17.321971288920235, 45.04791514986964 17.29007981003605))",0.0,28750.945102523798
53,85520adbfffffff,"POLYGON ((44.793378273185766 17.19404610804835, 44.77369504856878 17.107198803752677, 44.838809424576425 17.0525272203902, 44.92354534028436 17.084605765938157, 44.94331108777564 17.171348343589354, 44.8782585801888 17.22611709791563, 44.793378273185766 17.19404610804835))",0.0,26509.44852820342
54,85520b03fffffff,"POLYGON ((46.32027288806463 16.823998891138153, 46.299798761753586 16.7383244690219, 46.36270790270351 16.684000921575663, 46.446023670907636 16.71525618903698, 46.46657315615765 16.80082235606223, 46.40373169469152 16.855241494249537, 46.32027288806463 16.823998891138153))",0.0,119935.49233034994
55,85520b07fffffff,"POLYGON ((46.46657315615765 16.80082235606223, 46.446023670907636 16.71525618903698, 46.50872634908011 16.660959334956132, 46.59191047347032 16.692133221975258, 46.61253464771184 16.77759081101343, 46.54990018868341 16.831983073405734, 46.46657315615765 16.80082235606223))",0.0,105728.61458347458
56,85520b0bfffffff,"POLYGON ((46.21635204911702 16.706987510217033, 46.19595742496344 16.62131500225982, 46.25893368917581 16.567087345952483, 46.34223763424068 16.598436290970888, 46.36270790270351 16.684000921575663, 46.299798761753586 16.7383244690219, 46.21635204911702 16.706987510217033))",0.0,122046.46401930039
57,85520b0ffffffff,"POLYGON ((46.36270790270351 16.684000921575663, 46.34223763424068 16.598436290970888, 46.40500797822115 16.544235147480602, 46.48818110451418 16.575502907364104, 46.50872634908011 16.660959334956132, 46.446023670907636 16.71525618903698, 46.36270790270351 16.684000921575663))",0.0,106714.84924706661
58,85520b13fffffff,"POLYGON ((46.27770233435787 16.964227727693668, 46.257224452481694 16.87844426563576, 46.32027288806463 16.823998891138153, 46.40373169469152 16.855241494249537, 46.42428532061862 16.94091665310396, 46.36130457706719 16.995457495762512, 46.27770233435787 16.964227727693668))",0.0,134029.2862183617
59,85520b17fffffff,"POLYGON ((46.42428532061862 16.94091665310396, 46.40373169469152 16.855241494249537, 46.46657315615765 16.80082235606223, 46.54990018868341 16.831983073405734, 46.57052888585241 16.917549603243728, 46.507755660140354 16.972064027315334, 46.42428532061862 16.94091665310396))",0.0,120450.02698602962
60,85520b1bfffffff,"POLYGON ((46.17363457699103 16.847119462205136, 46.15323648066535 16.761337113587985, 46.21635204911702 16.706987510217033, 46.299798761753586 16.7383244690219, 46.32027288806463 16.823998891138153, 46.257224452481694 16.87844426563576, 46.17363457699103 16.847119462205136))",0.0,134689.9810029048
61,85520b23fffffff,"POLYGON ((46.65440666351137 16.63786369417696, 46.63378710993978 16.552515789591364, 46.69614552649272 16.49836955988865, 46.77905494546142 16.529475872409677, 46.79974814210197 16.614714939637313, 46.73745845571362 16.668956512786412, 46.65440666351137 16.63786369417696))",0.0,77559.39986999927
62,85520b27fffffff,"POLYGON ((46.79974814210197 16.614714939637313, 46.77905494546142 16.529475872409677, 46.84120737442287 16.47535803462884, 46.923983926684635 16.50638408710411, 46.944750101669584 16.591514008239677, 46.88266692471217 16.645727002949535, 46.79974814210197 16.614714939637313))",0.0,64366.5691871475
63,85520b2bfffffff,"POLYGON ((46.55074549599268 16.521328907579072, 46.53020459108867 16.435982958804527, 46.592631190290476 16.381932374082687, 46.67553069031916 16.413132075212324, 46.69614552649272 16.49836955988865, 46.63378710993978 16.552515789591364, 46.55074549599268 16.521328907579072))",0.0,79096.20407456812
64,85520b2ffffffff,"POLYGON ((46.69614552649272 16.49836955988865, 46.67553069031916 16.413132075212324, 46.73775182669598 16.359109697718033, 46.820519270069106 16.390229325542492, 46.84120737442287 16.47535803462884, 46.77905494546142 16.529475872409677, 46.69614552649272 16.49836955988865))",0.0,63912.27279693022
65,85520b33fffffff,"POLYGON ((46.61253464771184 16.77759081101343, 46.59191047347032 16.692133221975258, 46.65440666351137 16.63786369417696, 46.73745845571362 16.668956512786412, 46.758156650150845 16.75430520661136, 46.69572921197282 16.80866995828706, 46.61253464771184 16.77759081101343))",0.0,92303.27983104729
66,85520b37fffffff,"POLYGON ((46.758156650150845 16.75430520661136, 46.73745845571362 16.668956512786412, 46.79974814210197 16.614714939637313, 46.88266692471217 16.645727002949535, 46.90343847175272 16.730966489980016, 46.841218063019625 16.785303100607518, 46.758156650150845 16.75430520661136))",0.0,80031.46949071463
67,85520b3bfffffff,"POLYGON ((46.50872634908011 16.660959334956132, 46.48818110451418 16.575502907364104, 46.55074549599268 16.521328907579072, 46.63378710993978 16.552515789591364, 46.65440666351137 16.63786369417696, 46.59191047347032 16.692133221975258, 46.50872634908011 16.660959334956132))",0.0,91811.10989535136
68,85520b43fffffff,"POLYGON ((45.96577776549921 16.612625867403622, 45.94553923918363 16.526849289807682, 46.00878739623523 16.472692119672928, 46.0922082445581 16.504215150158092, 46.11252336567866 16.589884566010063, 46.04934122343907 16.64413809976235, 45.96577776549921 16.612625867403622))",0.0,120886.35432146088
69,85520b47fffffff,"POLYGON ((46.11252336567866 16.589884566010063, 46.0922082445581 16.504215150158092, 46.15525107588342 16.45008368090893, 46.23854264070626 16.481525425939175, 46.25893368917581 16.567087345952483, 46.19595742496344 16.62131500225982, 46.11252336567866 16.589884566010063))",0.0,126649.76842804742
70,85520b4bfffffff,"POLYGON ((45.86198982801718 16.495244673837803, 45.84183108282854 16.409472754695013, 45.90514469584412 16.355412237664968, 45.98855177736327 16.38702697429714, 46.00878739623523 16.472692119672928, 45.94553923918363 16.526849289807682, 45.86198982801718 16.495244673837803))",0.0,116226.36767998224
71,85520b4ffffffff,"POLYGON ((46.00878739623523 16.472692119672928, 45.98855177736327 16.38702697429714, 46.051660619746826 16.332991983527762, 46.13493924895677 16.364525646121248, 46.15525107588342 16.45008368090893, 46.0922082445581 16.504215150158092, 46.00878739623523 16.472692119672928))",0.0,122142.26499529148
72,85520b53fffffff,"POLYGON ((45.92263112420632 16.752791901668964, 45.90238979745942 16.666904638773417, 45.96577776549921 16.612625867403622, 46.04934122343907 16.64413809976235, 46.06965953402142 16.729918153721172, 46.00633758335418 16.78429317108092, 45.92263112420632 16.752791901668964))",0.0,110415.76047169669
73,85520b57fffffff,"POLYGON ((46.06965953402142 16.729918153721172, 46.04934122343907 16.64413809976235, 46.11252336567866 16.589884566010063, 46.19595742496344 16.62131500225982, 46.21635204911702 16.706987510217033, 46.15323648066535 16.761337113587985, 46.06965953402142 16.729918153721172))",0.0,126792.24990534161
74,85520b5bfffffff,"POLYGON ((45.81869766747581 16.635310306698983, 45.79853640438017 16.54942690716321, 45.86198982801718 16.495244673837803, 45.94553923918363 16.526849289807682, 45.96577776549921 16.612625867403622, 45.90238979745942 16.666904638773417, 45.81869766747581 16.635310306698983))",0.0,105050.17379532204
75,85520b63fffffff,"POLYGON ((46.30138009719786 16.427420290854755, 46.28099272687519 16.341969697794358, 46.34369187000235 16.287987648628818, 46.426711461259764 16.31936005377648, 46.44717371134303 16.4047028796294, 46.38454166884575 16.458781051714098, 46.30138009719786 16.427420290854755))",0.0,100708.76480356381
76,85520b67fffffff,"POLYGON ((46.44717371134303 16.4047028796294, 46.426711461259764 16.31936005377648, 46.48920569559248 16.265405411116777, 46.57209472300637 16.296697635282268, 46.592631190290476 16.381932374082687, 46.53020459108867 16.435982958804527, 46.44717371134303 16.4047028796294))",0.0,84420.4655965693
77,85520b6bfffffff,"POLYGON ((46.19784326472481 16.310516812774978, 46.17753483566997 16.22507089370277, 46.240300529090455 16.171185258187883, 46.32330827924976 16.202649113247823, 46.34369187000235 16.287987648628818, 46.28099272687519 16.341969697794358, 46.19784326472481 16.310516812774978))",0.0,109292.49145247476
78,85520b6ffffffff,"POLYGON ((46.34369187000235 16.287987648628818, 46.32330827924976 16.202649113247823, 46.38586960121572 16.14879070525885, 46.46874760398104 16.180174581994326, 46.48920569559248 16.265405411116777, 46.426711461259764 16.31936005377648, 46.34369187000235 16.287987648628818))",0.0,92880.47919199753
79,85520b73fffffff,"POLYGON ((46.25893368917581 16.567087345952483, 46.23854264070626 16.481525425939175, 46.30138009719786 16.427420290854755, 46.38454166884575 16.458781051714098, 46.40500797822115 16.544235147480602, 46.34223763424068 16.598436290970888, 46.25893368917581 16.567087345952483))",0.0,110591.00321962826
80,85520b77fffffff,"POLYGON ((46.40500797822115 16.544235147480602, 46.38454166884575 16.458781051714098, 46.44717371134303 16.4047028796294, 46.53020459108867 16.435982958804527, 46.55074549599268 16.521328907579072, 46.48818110451418 16.575502907364104, 46.40500797822115 16.544235147480602))",0.0,94711.29028318949
81,85520b7bfffffff,"POLYGON ((46.15525107588342 16.45008368090893, 46.13493924895677 16.364525646121248, 46.19784326472481 16.310516812774978, 46.28099272687519 16.341969697794358, 46.30138009719786 16.427420290854755, 46.23854264070626 16.481525425939175, 46.15525107588342 16.45008368090893))",0.0,117068.2226636971
82,85520b83fffffff,"POLYGON ((46.33930331909203 17.22179371552647, 46.31874171599589 17.135902848657455, 46.38186224262575 17.08124089063158, 46.46547628917199 17.11237474951273, 46.48611373486368 17.198156897252268, 46.423061473859484 17.252913888170575, 46.33930331909203 17.22179371552647))",0.0,151412.44733712246
83,85520b87fffffff,"POLYGON ((46.48611373486368 17.198156897252268, 46.46547628917199 17.11237474951273, 46.52838878147051 17.05773874611292, 46.61187009107492 17.08879002334011, 46.63258270191774 17.174463126011826, 46.569739020129056 17.229193978299893, 46.48611373486368 17.198156897252268))",0.0,139706.3734839441
84,85520b8bfffffff,"POLYGON ((46.234995638396605 17.104686085056024, 46.21451410429194 17.0187943428599, 46.27770233435787 16.964227727693668, 46.36130457706719 16.995457495762512, 46.38186224262575 17.08124089063158, 46.31874171599589 17.135902848657455, 46.234995638396605 17.104686085056024))",0.0,139690.9369373679
85,85520b8ffffffff,"POLYGON ((46.38186224262575 17.08124089063158, 46.36130457706719 16.995457495762512, 46.42428532061862 16.94091665310396, 46.507755660140354 16.972064027315334, 46.52838878147051 17.05773874611292, 46.46547628917199 17.11237474951273, 46.38186224262575 17.08124089063158))",0.0,135729.5913886544
86,85520b93fffffff,"POLYGON ((46.29660794366151 17.362573756991164, 46.27604250617955 17.27657619032543, 46.33930331909203 17.22179371552647, 46.423061473859484 17.252913888170575, 46.44370314307023 17.338802696668225, 46.38051060901509 17.39368007381563, 46.29660794366151 17.362573756991164))",0.0,150824.95806492429
87,85520b97fffffff,"POLYGON ((46.44370314307023 17.338802696668225, 46.423061473859484 17.252913888170575, 46.48611373486368 17.198156897252268, 46.569739020129056 17.229193978299893, 46.59045624071762 17.31497369975845, 46.52747280757403 17.36982540917438, 46.44370314307023 17.338802696668225))",0.0,156075.45471853705
88,85520b9bfffffff,"POLYGON ((46.19215219373513 17.245372599315992, 46.17166711180175 17.159373345007698, 46.234995638396605 17.104686085056024, 46.31874171599589 17.135902848657455, 46.33930331909203 17.22179371552647, 46.27604250617955 17.27657619032543, 46.19215219373513 17.245372599315992))",0.0,136670.899740775
89,85520ba3fffffff,"POLYGON ((46.67457452473681 17.0341806226798, 46.65386662218477 16.948614902973553, 46.71643230871686 16.89412753899289, 46.79963675296108 16.925111084726584, 46.820418763370974 17.010567488021724, 46.75792240268075 17.065149642444187, 46.67457452473681 17.0341806226798))",0.0,112515.61860030341
90,85520ba7fffffff,"POLYGON ((46.820418763370974 17.010567488021724, 46.79963675296108 16.925111084726584, 46.86199488886657 16.870651417738056, 46.945065363188526 16.901553531018497, 46.96592080932998 16.98690030625754, 46.90363252606769 17.041454575586577, 46.820418763370974 17.010567488021724))",0.0,102944.81320521628
91,85520babfffffff,"POLYGON ((46.57052888585241 16.917549603243728, 46.54990018868341 16.831983073405734, 46.61253464771184 16.77759081101343, 46.69572921197282 16.80866995828706, 46.71643230871686 16.89412753899289, 46.65386662218477 16.948614902973553, 46.57052888585241 16.917549603243728))",0.0,107713.93095220407
