h3_05,population_score,displacement_score,climate_score,conflict_score,food_nutrition_security_score,access_services_score,economic_activity_score
8552086bfffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
8552086ffffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520927fffffff,0.002328875625462546,0.0,0.018180992,0.3958148665833944,0.081694796,1.0,0.1389496107441106
8552092ffffffff,0.002328875625462546,0.0,0.018180992,0.3958148665833944,0.081694796,1.0,0.1389496107441106
8552094bfffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
8552094ffffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
8552096bfffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a03fffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a07fffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a0bfffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a0ffffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a13fffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a17fffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a1bfffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a23fffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a27fffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a2bfffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a2ffffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a33fffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a37fffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a3bfffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a43fffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a47fffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a4bfffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a4ffffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a53fffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a57fffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a5bfffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a63fffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a67fffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a6bfffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a6ffffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a73fffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a77fffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a7bfffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a83fffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a87fffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a8bfffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a8ffffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520a9bfffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520aa3fffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
85520aa7fffffff,0.22982549629374088,0.014028089915355613,0.013504418,0.5501853089868144,0.817506882,0.9004972151570155,0.744455000960285
